episode,timesteps,reward,length,success
1,500,-1.096366,500,0
2,1000,-1.916508,500,0
3,1500,-1.97589,500,0
4,2000,0.245093,500,0
5,2500,3.674359,500,0
6,3000,-0.996903,500,0
7,3500,-2.426466,500,0
8,4000,-2.330262,500,0
9,4500,-2.490159,500,0
10,5000,-2.182049,500,0
11,5500,-1.735927,500,0
12,6000,-2.611617,500,0
13,6500,-2.462622,500,0
14,7000,3.511502,500,0
15,7500,-1.528336,500,0
16,8000,-2.521551,500,0
17,8500,2.954342,500,0
18,9000,1.790842,500,0
19,9500,-1.511854,500,0
20,10000,-2.514919,500,0
21,10500,-1.945894,500,0
22,11000,8.394604,500,0
23,11500,-0.696472,500,0
24,12000,-2.554826,500,0
25,12500,1.01975,500,0
26,13000,-0.243193,500,0
27,13500,-2.116322,500,0
28,14000,2.780989,500,0
29,14500,5.996994,500,0
30,15000,37.158483,500,0
31,15500,-2.367612,500,0
32,16000,0.038378,500,0
33,16500,28.437116,500,0
34,17000,-1.556647,500,0
35,17500,2.425877,500,0
36,18000,3.911204,500,0
37,18500,-1.921093,500,0
38,19000,-2.015521,500,0
39,19500,-2.268857,500,0
40,20000,20.873468,500,0
41,20500,-2.001786,500,0
42,21000,22.746865,500,0
43,21500,12.831591,500,0
44,22000,3.078237,500,0
45,22500,23.64667,500,0
46,23000,-1.838414,500,0
47,23500,44.188187,500,0
48,24000,5.64813,500,0
49,24500,30.658893,500,0
50,25000,6.315476,500,0
51,25500,-0.021563,500,0
52,26000,4.971253,500,0
53,26500,-1.868745,500,0
54,27000,1.208878,500,0
55,27500,-0.184307,500,0
56,28000,28.12821,500,0
57,28500,63.891656,500,0
58,29000,-1.367375,500,0
59,29500,16.943646,500,0
60,30000,1.89742,500,0
61,30500,17.007376,500,0
62,31000,9.3289,500,0
63,31500,11.384175,500,0
64,32000,-1.885419,500,0
65,32500,-0.761488,500,0
66,33000,-2.205562,500,0
67,33500,30.194019,500,0
68,34000,21.143774,500,0
69,34500,-0.508466,500,0
70,35000,75.388009,500,0
71,35500,-2.060477,500,0
72,36000,26.005548,500,0
73,36500,33.708916,500,0
74,37000,3.231584,500,0
75,37500,-2.332524,500,0
76,38000,82.930927,500,0
77,38500,5.911281,500,0
78,39000,4.248247,500,0
79,39500,-1.677891,500,0
80,40000,96.505896,500,0
81,40500,0.214328,500,0
82,41000,-2.552969,500,0
83,41500,-2.456624,500,0
84,42000,-0.740897,500,0
85,42500,41.762042,500,0
86,43000,16.125429,500,0
87,43500,-1.789853,500,0
88,44000,-1.804234,500,0
89,44500,18.819059,500,0
90,45000,-1.317401,500,0
91,45500,21.947172,500,0
92,46000,-1.66713,500,0
93,46500,2.724283,500,0
94,47000,11.334741,500,0
95,47500,46.931256,500,0
96,48000,19.944881,500,0
97,48500,-0.539957,500,0
98,49000,43.272209,500,0
99,49500,17.687881,500,0
100,50000,6.967181,500,0
101,50500,5.877892,500,0
102,51000,26.685325,500,0
103,51500,2.178207,500,0
104,52000,13.732768,500,0
105,52500,126.591288,500,0
106,53000,22.380379,500,0
107,53500,21.287129,500,0
108,54000,22.607172,500,0
109,54500,14.283759,500,0
110,55000,0.438041,500,0
111,55500,33.047993,500,0
112,56000,29.39836,500,0
113,56500,6.045386,500,0
114,57000,-0.751823,500,0
115,57500,12.533253,500,0
116,58000,4.059827,500,0
117,58500,-0.989952,500,0
118,59000,-1.796056,500,0
119,59500,19.800532,500,0
120,60000,30.366353,500,0
121,60500,40.563539,500,0
122,61000,-2.000878,500,0
123,61500,10.773469,500,0
124,62000,26.029924,500,0
125,62500,5.927037,500,0
126,63000,-1.651111,500,0
127,63500,2.263561,500,0
128,64000,27.710075,500,0
129,64500,-2.167493,500,0
130,65000,2.014515,500,0
131,65500,22.026702,500,0
132,66000,22.45767,500,0
133,66500,-1.868514,500,0
134,67000,15.848089,500,0
135,67500,0.888817,500,0
136,68000,24.80483,500,0
137,68500,12.034246,500,0
138,69000,-1.852709,500,0
139,69500,1.777529,500,0
140,70000,47.717435,500,0
141,70500,39.013638,500,0
142,71000,11.272422,500,0
143,71500,41.515614,500,0
144,72000,-0.251567,500,0
145,72500,15.984173,500,0
146,73000,-0.840915,500,0
147,73500,53.910269,500,0
148,74000,-2.57311,500,0
149,74500,7.945118,500,0
150,75000,-1.507781,500,0
151,75500,26.789953,500,0
152,76000,105.057147,500,0
153,76500,31.487054,500,0
154,77000,0.493795,500,0
155,77500,46.282076,500,0
156,78000,88.916823,500,0
157,78500,1.375415,500,0
158,79000,2.297523,500,0
159,79500,15.301733,500,0
160,80000,-2.426672,500,0
161,80500,43.50861,500,0
162,81000,0.438244,500,0
163,81500,-1.491766,500,0
164,82000,8.400504,500,0
165,82500,-0.43211,500,0
166,83000,24.982327,500,0
167,83500,17.2305,500,0
168,84000,15.243048,500,0
169,84500,-2.515457,500,0
170,85000,1.563262,500,0
171,85500,93.487444,500,0
172,86000,0.00103,500,0
173,86500,-0.004396,500,0
174,87000,59.885074,500,0
175,87500,21.957542,500,0
176,88000,3.317349,500,0
177,88500,79.291374,500,0
178,89000,112.504357,500,0
179,89500,48.731461,500,0
180,90000,75.218326,500,0
181,90500,10.633126,500,0
182,91000,31.445201,500,0
183,91500,31.82417,500,0
184,92000,6.266183,500,0
185,92500,56.55803,500,0
186,93000,12.727278,500,0
187,93500,-0.162917,500,0
188,94000,43.478924,500,0
189,94500,81.778048,500,0
190,95000,39.685565,500,0
191,95500,35.243455,500,0
192,96000,7.461693,500,0
193,96500,37.180167,500,0
194,97000,6.69536,500,0
195,97500,0.744488,500,0
196,98000,1.935491,500,0
197,98500,4.572434,500,0
198,99000,14.729496,500,0
199,99500,-0.170616,500,0
200,100000,28.916775,500,0
201,100500,106.211161,500,0
202,101000,47.8295,500,0
203,101500,34.202139,500,0
204,102000,32.499511,500,0
205,102500,0.759303,500,0
206,103000,7.290119,500,0
207,103500,-2.199921,500,0
208,104000,29.654574,500,0
209,104500,24.755961,500,0
210,105000,-1.90094,500,0
211,105500,23.171868,500,0
212,106000,10.834821,500,0
213,106500,-0.275991,500,0
214,107000,52.979252,500,0
215,107500,24.082677,500,0
216,108000,25.478242,500,0
217,108500,54.971618,500,0
218,109000,46.290059,500,0
219,109500,19.512297,500,0
220,110000,22.557436,500,0
221,110500,-0.854331,500,0
222,111000,12.851351,500,0
223,111500,36.146732,500,0
224,112000,68.099754,500,0
225,112500,12.001376,500,0
226,113000,22.231551,500,0
227,113500,65.263042,500,0
228,114000,7.693732,500,0
229,114500,-1.448042,500,0
230,115000,21.888935,500,0
231,115500,2.335601,500,0
232,116000,-1.806327,500,0
233,116500,1.377266,500,0
234,117000,14.427669,500,0
235,117500,14.689606,500,0
236,118000,40.026959,500,0
237,118500,33.570155,500,0
238,119000,19.67389,500,0
239,119500,-1.716765,500,0
240,120000,-2.118026,500,0
241,120500,60.63233,500,0
242,121000,24.231116,500,0
243,121500,51.609701,500,0
244,122000,17.17881,500,0
245,122500,6.081234,500,0
246,123000,45.829191,500,0
247,123500,102.95763,500,0
248,124000,121.694616,500,0
249,124500,23.39552,500,0
250,125000,38.989058,500,0
251,125500,19.69033,500,0
252,126000,-2.590832,500,0
253,126500,24.219604,500,0
254,127000,8.917296,500,0
255,127500,-1.76971,500,0
256,128000,3.045108,500,0
257,128500,49.851242,500,0
258,129000,23.496016,500,0
259,129500,51.484327,500,0
260,130000,10.804732,500,0
261,130500,34.129452,500,0
262,131000,65.167436,500,0
263,131500,12.912056,500,0
264,132000,7.62782,500,0
265,132500,188.760987,500,0
266,133000,7.557273,500,0
267,133500,36.946585,500,0
268,134000,15.378163,500,0
269,134500,2.246741,500,0
270,135000,7.576543,500,0
271,135500,7.022387,500,0
272,136000,0.583499,500,0
273,136500,56.384684,500,0
274,137000,-1.277899,500,0
275,137500,8.337588,500,0
276,138000,0.894574,500,0
277,138500,8.693368,500,0
278,139000,76.50232,500,0
279,139500,14.393394,500,0
280,140000,17.20786,500,0
281,140500,45.025003,500,0
282,141000,123.187177,500,0
283,141500,7.020044,500,0
284,142000,35.47205,500,0
285,142500,36.698842,500,0
286,143000,-1.411651,500,0
287,143500,99.768223,500,0
288,144000,17.187857,500,0
289,144500,60.506056,500,0
290,145000,-0.901752,500,0
291,145500,59.208592,500,0
292,146000,13.995213,500,0
293,146500,40.781339,500,0
294,147000,40.608179,500,0
295,147500,65.428185,500,0
296,148000,47.757391,500,0
297,148500,7.773364,500,0
298,149000,5.492607,500,0
299,149500,2.181917,500,0
300,150000,2.608434,500,0
301,150500,66.101106,500,0
302,151000,22.732351,500,0
303,151500,65.112396,500,0
304,152000,32.085478,500,0
305,152500,39.066934,500,0
306,153000,4.584472,500,0
307,153500,10.708292,500,0
308,154000,16.713625,500,0
309,154500,73.189942,500,0
310,155000,39.69298,500,0
311,155500,-0.200016,500,0
312,156000,-0.266233,500,0
313,156500,11.356426,500,0
314,157000,0.680197,500,0
315,157500,38.905374,500,0
316,158000,0.910567,500,0
317,158500,3.379602,500,0
318,159000,91.155319,500,0
319,159500,3.05305,500,0
320,160000,87.442256,500,0
321,160500,28.182687,500,0
322,161000,82.130378,500,0
323,161500,13.636055,500,0
324,162000,21.712509,500,0
325,162500,95.047823,500,0
326,163000,4.687942,500,0
327,163500,56.080774,500,0
328,164000,5.876321,500,0
329,164500,4.158797,500,0
330,165000,24.864909,500,0
331,165500,15.727591,500,0
332,166000,96.374376,500,0
333,166500,134.701315,500,0
334,167000,-0.105453,500,0
335,167500,40.075486,500,0
336,168000,70.151994,500,0
337,168500,10.73095,500,0
338,169000,220.600314,500,0
339,169500,54.773533,500,0
340,170000,30.356201,500,0
341,170500,57.646126,500,0
342,171000,24.794523,500,0
343,171500,65.87482,500,0
344,172000,9.362135,500,0
345,172500,4.431734,500,0
346,173000,1.163457,500,0
347,173500,7.165836,500,0
348,174000,-1.689254,500,0
349,174500,-1.333756,500,0
350,175000,230.949801,500,0
351,175500,63.898693,500,0
352,176000,6.967945,500,0
353,176500,54.943044,500,0
354,177000,74.550752,500,0
355,177500,28.131164,500,0
356,178000,35.828511,500,0
357,178500,28.738586,500,0
358,179000,-1.131172,500,0
359,179500,5.166197,500,0
360,180000,78.856862,500,0
361,180500,105.765914,500,0
362,181000,-0.963428,500,0
363,181500,29.409704,500,0
364,182000,102.372139,500,0
365,182500,11.331354,500,0
366,183000,18.143833,500,0
367,183500,100.199938,500,0
368,184000,10.673283,500,0
369,184500,107.286328,500,0
370,185000,240.981861,500,0
371,185500,164.726898,500,0
372,186000,27.473217,500,0
373,186500,163.795489,500,0
374,187000,55.542124,500,0
375,187500,53.671804,500,0
376,188000,115.937754,500,0
377,188500,11.003843,500,0
378,189000,15.046452,500,0
379,189500,43.908639,500,0
380,190000,40.058991,500,0
381,190500,1.783592,500,0
382,191000,90.419355,500,0
383,191500,0.318892,500,0
384,192000,41.391756,500,0
385,192500,107.799904,500,0
386,193000,51.109649,500,0
387,193500,16.415823,500,0
388,194000,15.653985,500,0
389,194500,20.098073,500,0
390,195000,17.094524,500,0
391,195500,53.343386,500,0
392,196000,16.994922,500,0
393,196500,7.18896,500,0
394,197000,20.827828,500,0
395,197500,88.388846,500,0
396,198000,0.887744,500,0
397,198500,52.957139,500,0
398,199000,1.617916,500,0
399,199500,51.131858,500,0
400,200000,40.042538,500,0
401,200500,-2.716183,500,0
